health_board,numerator,finish_2021,start_2010,total_change
 Lothian,162261,17.71,13.49,4.220000000000001
 Greater Glasgow & Clyde,251524,21.22,16.61,4.609999999999999
 Western Isles,4939,18.54,13.79,4.75
 Grampian,102886,17.54,12.45,5.09
 Highland,60264,18.58,13.48,5.099999999999998
 Forth Valley,61860,20.23,14.86,5.370000000000001
 Borders,23891,20.59,15.15,5.4399999999999995
 Tayside,86314,20.67,15.21,5.460000000000001
 Shetland,4018,17.52,11.72,5.799999999999999
 Fife,79882,21.32,15.26,6.0600000000000005
 Lanarkshire,147046,22.14,16.07,6.07
 Orkney,4189,18.58,12.28,6.299999999999999
 Ayrshire & Arran,83388,22.62,16.31,6.310000000000002
 Dumfries & Galloway,31409,21.11,14.75,6.359999999999999
